Feature ID	kingdom	phylum	class	order	family	genus	species
999a4ee9f08f2575fc208ea6643e7619	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	uncultured_Pseudomonadales
f777a8deddfd2ef29014588a5198cf38	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Herbidospora	
ebd5363ed242a9e5fceeea6fe873d962	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
24a8b898edb9a35c9a3e94dcfb2201e5	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae	
931cd04fd0e1d12d7f3bbb564a779f56	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
1b5133a017610f1acf1b9f5d27b71eb2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
672e58fc7fd7c529628247cd0f73c431	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonadaceae	
6af8f7a74064c1ec86b09f67c5d973aa	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingoaurantiacus	uncultured_Sphingomonadaceae
5506b3ff5423a0fc360f29acbce206b9	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales			
0f568fc78c12c6ccd5dfabdcab7ed0c8	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	
2a346f41921342a62cb8d8fbec7fdd05	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	uncultured_bacterium
9cfabf3f40f85c0eaa14758f5657e832	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	
5fafe293988c493dc25e424dac4ee259	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	uncultured	
de4ae3380029b9c5cb48de95da5de789	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	uncultured_bacterium
7a216cd1a2c6cb7e655fe29f7d3cdfe5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae		
aaafc259eaf4c36fffab207b260325d8	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7	
085251979c90c3cb0db4de7ac3fdcc33	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
5217e1e6d8731fee74781d9a3d4a0d64	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured	uncultured_Verrucomicrobia
771472c352ea16939460573a18c49639	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae		
1a6e432f482678e6d1f932bf8b1778f9	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	
8f65f93ac0f0c5e1f33a6149cbabc572	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae		
783d4e5e11388091d8b94a721de9331a	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	uncultured_planctomycete
d4515e070c7ead3c6e9420962d32b093	Bacteria	Chloroflexi	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	uncultured_bacterium
878788b1b5c9048ba528491347e08c5f	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	
7df2eb80737399ce94e98fe280e319c6	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae		
a7e7185550e61d2629ac8b9f73501d7e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Nordella	
7b831b2c083944f3d621ebb92eb3078a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	
9cd7e414e19c542e74a22cb444a43e68	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	
79f8356b4df3fc956a248620b077a13b	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	
